C4BE84	Texas Instruments.
0022B2	4RF Communications Ltd
34F0CA	Shenzhen Linghangyuan Digital Technology Co.,Ltd.
00130C	HF System Corporation
F40321	BeNeXt B.V.
00E09C	MII
001661	Novatium Solutions (P) Ltd
001E4B	City Theatrical
C44BD1	Wallys Communications  Teachnologies Co.,Ltd.
34C5D0	Hagleitner Hygiene International GmbH
E41218	ShenZhen Rapoo Technology Co., Ltd.
548998	HUAWEI TECHNOLOGIES CO.,LTD
00053A	Willowglen Services Pte Ltd
001BBE	ICOP Digital
00D09C	KAPADIA COMMUNICATIONS
000365	Kira Information & Communications, Ltd.
00903D	BIOPAC SYSTEMS, INC.
00051C	Xnet Technology Corp.
EC1A59	Belkin International Inc.
080D84	GECO, Inc.
FCE998	Apple
9C5D95	VTC Electronics Corp.
001D19	Arcadyan Technology Corporation
8CD628	Ikor Metering
001A64	IBM Corp
001AAF	BLUSENS TECHNOLOGY
0016BE	INFRANET, Inc.
D8A25E	Apple
001F8F	Shanghai Bellmann Digital Source Co.,Ltd.
001C60	CSP Frontier Technologies,Inc.
00E05F	e-Net, Inc.
DC2B61	Apple
000426	Autosys
ACD9D6	tci GmbH
001ADE	ARRIS Group, Inc.
00C0DF	KYE Systems Corp.
0004DD	CISCO SYSTEMS, INC.
9CB6D0	Rivet Networks
001D2C	Wavetrend Technologies (Pty) Limited
00C0D5	Werbeagentur J眉rgen Siebert
000B80	Lycium Networks
000B58	Astronautics C.A  LTD
842F75	Innokas Group
00156D	Ubiquiti Networks Inc.
001E06	WIBRAIN
0015F3	PELTOR AB
00255B	CoachComm, LLC
18CF5E	Liteon Technology Corporation
0002D7	EMPEG Ltd
00E030	MELITA INTERNATIONAL CORP.
001ED0	Ingespace
7C160D	Saia-Burgess Controls AG
005055	DOMS A/S
001978	Datum Systems, Inc.
CC3429	TP-LINK TECHNOLOGIES CO.,LTD.
20107A	Gemtek Technology Co., Ltd.
000EF7	Vulcan Portals Inc
0014DF	HI-P Tech Corporation
70FF76	Texas Instruments
00252C	Entourage Systems, Inc.
5C353B	Compal Broadband Networks Inc.
00C0E9	OAK SOLUTIONS, LTD.
CC0080	BETTINI SRL
0006C8	Sumitomo Metal Micro Devices, Inc.
001C25	Hon Hai Precision Ind. Co.,Ltd.
080081	ASTECH INC.
A8F274	Samsung Electronics
808698	Netronics Technologies Inc.
000BBD	Connexionz Limited
001CC4	Hewlett-Packard Company
00261D	COP SECURITY SYSTEM CORP.
8C6422	Sony Ericsson Mobile Communications AB
C80210	LG Innotek
FC1BFF	V-ZUG AG
002638	Xia Men Joyatech Co., Ltd.
44E137	ARRIS Group, Inc.
000A1A	Imerge Ltd
748F1B	MasterImage 3D
001D85	Call Direct Cellular Solutions
0030FC	Terawave Communications, Inc.
F49F54	Samsung Electronics
ECA29B	Kemppi Oy
00D051	O2 MICRO, INC.
0060D9	TRANSYS NETWORKS INC.
001D07	Shenzhen Sang Fei Consumer Communications Co.,Ltd
00167B	Haver&Boecker
00223C	RATIO Entwicklungen GmbH
0030FD	INTEGRATED SYSTEMS DESIGN
F89D0D	Control Technology Inc.
40704A	Power Idea Technology Limited
00C09F	QUANTA COMPUTER, INC.
000FB6	Europlex Technologies
00078B	Wegener Communications, Inc.
001CE0	DASAN TPS
000540	FAST Corporation
0025DA	Secura Key
28A192	GERP Solution
0005CE	Prolink Microsystems Corporation
000239	Visicom
000FC9	Allnet GmbH
0026CE	Kozumi USA Corp.
AC5E8C	Utillink
000338	Oak Technology
D81EDE	B&W Group Ltd
CC6BF1	Sound Masking Inc.
00A004	NETPOWER, INC.
00161E	Woojinnet
EC9B5B	Nokia Corporation
000BE0	SercoNet Ltd.
9CB793	Creatcomm Technology Inc.
0005F2	Power R, Inc.
A85BF3	Audivo GmbH
00605C	CISCO SYSTEMS, INC.
1CADD1	Bosung Electronics Co., Ltd.
2CC260	Ravello Systems
0019AD	BOBST SA
408BF6	Shenzhen TCL New Technology Co; Ltd.
00A0FF	TELLABS OPERATIONS, INC.
783F15	EasySYNC Ltd.
24C696	Samsung Electronics Co.,Ltd
00238B	Quanta Computer Inc.
00169B	Alstom Transport
001390	Termtek Computer Co., Ltd
FC5090	SIMEX Sp. z o.o.
0050A4	IO TECH, INC.
2046A1	VECOW Co., Ltd
002366	Beijing Siasun Electronic System Co.,Ltd.
000EDF	PLX Technology
0026DA	Universal Media Corporation /Slovakia/ s.r.o.
00E048	SDL COMMUNICATIONS, INC.
3CB17F	Wattwatchers Pty Ld
A0D12A	AXPRO Technology Inc.
001255	NetEffect Incorporated
001560	Hewlett-Packard Company
44E8A5	Myreka Technologies Sdn. Bhd.
00E08C	NEOPARADIGM LABS, INC.
002A6A	CISCO SYSTEMS, INC.
408256	Continental Automotive GmbH
9094E4	D-Link International
000968	TECHNOVENTURE, INC.
002561	ProCurve Networking by HP
00251C	EDT
6CE0B0	SOUND4
000B8A	MITEQ Inc.
001A93	ERCO Leuchten GmbH
7CAD74	Cisco
0013E9	VeriWave, Inc.
2005E8	OOO InProMedia
001322	DAQ Electronics, Inc.
001429	V Center Technologies Co., Ltd.
001B5B	2Wire, Inc.
900A3A	PSG Plastic Service GmbH
000D05	cybernet manufacturing inc.
DC56E6	Shenzhen Bococom Technology Co.,LTD
C45976	Fugoo Coorporation
0040E0	ATOMWIDE LTD.
001745	INNOTZ CO., Ltd
001A57	Matrix Design Group, LLC
C47F51	Inventek Systems
002567	Samsung Electronics
48EA63	Zhejiang Uniview Technologies Co., Ltd.
005067	AEROCOMM, INC.
00A09B	QPSX COMMUNICATIONS, LTD.
00246A	Solid Year Co., Ltd.
000574	CISCO SYSTEMS, INC.
806CBC	NET New Electronic Technology GmbH
8CB864	AcSiP Technology Corp.
80CF41	Lenovo Mobile Communication Technology Ltd.
0060A4	GEW Technologies (PTY)Ltd
60AF6D	Samsung Electronics Co.,Ltd
001705	Methode Electronics
0CEFAF	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information.
000AEE	GCD Hard- & Software GmbH
00219C	Honeywld Technology Corp.
00134C	YDT Technology International
0016A8	CWT CO., LTD.
000F0E	WaveSplitter Technologies, Inc.
002226	Avaak, Inc.
000780	Bluegiga Technologies OY
000AC8	ZPSYS CO.,LTD. (Planning&Management)
A086C6	XIAOMI INC
44A8C2	SEWOO TECH CO., LTD
001354	Zcomax Technologies, Inc.
000A3A	J-THREE INTERNATIONAL Holding Co., Ltd.
68A1B7	Honghao Mingchuan Technology (Beijing) CO.,Ltd.
34DF2A	Fujikon Industrial Co.,Limited
080062	GENERAL DYNAMICS
A45055	busware.de
0023EE	ARRIS Group, Inc.
00605A	CELCORE, INC.
0025F4	KoCo Connector AG
0017B0	Nokia Danmark A/S
00082A	Powerwallz Network Security
001177	Coaxial Networks, Inc.
6CB311	Shenzhen Lianrui Electronics Co.,Ltd
000DD3	SAMWOO Telecommunication Co.,Ltd.
0008C8	Soneticom, Inc.
001D13	NextGTV
0020BC	Long Reach Networks Pty Ltd
00A036	APPLIED NETWORK TECHNOLOGY
0001AB	Main Street Networks
002568	Shenzhen Huawei Communication Technologies Co., Ltd
E8516E	TSMART Inc.
000E5B	ParkerVision - Direct2Data
001ECC	CDVI
00A011	MUTOH INDUSTRIES LTD.
001C5F	Winland Electronics, Inc.
0090C5	INTERNET MAGIC, INC.
9067B5	Alcatel-Lucent
A43135	Apple Inc
000E35	Intel Corp
00148D	Cubic Defense Simulation Systems
00136C	TomTom
9C44A6	SwiftTest, Inc.
001753	nFore Technology Inc.
000139	Point Multimedia Systems
001886	EL-TECH, INC.
001A70	Cisco-Linksys, LLC
78FC14	B Communications Pty Ltd
D4D919	GoPro
000DE8	Nasaco Electronics Pte. Ltd
00D07A	AMAQUEST COMPUTER CORP.
00157F	ChuanG International Holding CO.,LTD.
001CDD	COWBELL ENGINEERING CO., LTD.
ACCA8E	ODA Technologies
00D0CC	TECHNOLOGIES LYRE INC.
A854B2	Wistron Neweb Corp.
0019A7	ITU-T
00139C	Exavera Technologies, Inc.
E01877	Fujitsu Limited
8CE081	zte corporation
28B2BD	Intel Corporate
58D6D3	Dairy Cheq Inc
B41DEF	Internet Laboratories, Inc.
582136	KMB systems, s.r.o.
543968	Edgewater Networks Inc
00807F	DY-4 INCORPORATED
001853	Atera Networks LTD.
00A00B	COMPUTEX CO., LTD.
CCD8C1	Cisco
001196	Actuality Systems, Inc.
0014A1	Synchronous Communication Corp
001379	PONDER INFORMATION INDUSTRIES LTD.
64E599	EFM Networks
001A80	Sony Corporation
0025BF	Wireless Cables Inc.
D4A499	InView Technology Corporation
0012ED	AVG Advanced Technologies
F80F84	Natural Security SAS
A0BF50	S.C. ADD-PRODUCTION S.R.L.
0025B3	Hewlett-Packard Company
107BEF	ZyXEL Communications Corporation
0018C5	Nokia Danmark A/S
001DFE	Palm, Inc
0C9E91	Sankosha Corporation
001D89	VaultStor Corporation
00056E	National Enhance Technology, Inc.
0021DB	Santachi Video Technology (Shenzhen) Co., Ltd.
0060AE	TRIO INFORMATION SYSTEMS AB
60812B	Custom Control Concepts
78A5DD	Shenzhen Smarteye Digital Electronics Co., Ltd
0022C1	Active Storage Inc.
F0F260	Mobitec AB
18A3E8	Fiberhome Telecommunication Tech.Co.,Ltd.
001102	Aurora Multimedia Corp.
001F8E	Metris USA Inc.
ACE64B	Shenzhen Baojia Battery Technology Co., Ltd.
00E0A8	SAT GmbH & Co.
0013AD	Sendo Ltd
0004EE	Lincoln Electric Company
000057	SCITEX CORPORATION LTD.
001E9A	HAMILTON Bonaduz AG
001E21	Qisda Co.
0012C7	SECURAY Technologies Ltd.Co.
001137	AICHI ELECTRIC CO., LTD.
60A10A	Samsung Electronics Co.,Ltd
002276	Triple EYE B.V.
D07650	IEEE REGISTRATION AUTHORITY  - Please see MAM public listing for more information.
001F39	Construcciones y Auxiliar de Ferrocarriles, S.A.
E8F1B0	SAGEMCOM SAS
000964	Hi-Techniques, Inc.
000944	CISCO SYSTEMS, INC.
001D09	Dell Inc
00251D	DSA Encore, LLC
080041	RACAL-MILGO INFORMATION SYS..
001E6A	Beijing Bluexon Technology Co.,Ltd
000FA7	Raptor Networks Technology
005D03	Xilinx, Inc
307C30	RIM
000639	Newtec
B4ED19	Pie Digital, Inc.
10FEED	TP-LINK TECHNOLOGIES CO., LTD.
004065	GTE SPACENET
1071F9	Cloud Telecomputers, LLC
001BD1	SOGESTMATIC
00A056	MICROPROSS
001507	Renaissance Learning Inc
000AB0	LOYTEC electronics GmbH
005076	IBM Corp
00170C	Twig Com Ltd.
00A0E0	TENNYSON TECHNOLOGIES PTY LTD
F8DADF	EcoTech, Inc.
0002B6	Acrosser Technology Co., Ltd.
00191C	Sensicast Systems
D0BB80	SHL Telemedicine International Ltd.
84742A	zte corporation
0026EC	Legrand Home Systems, Inc
C08C60	Cisco
0080ED	IQ TECHNOLOGIES, INC.
FC946C	UBIVELOX
C45600	Galleon Embedded Computing
688540	IGI Mobile, Inc.
000F33	DUALi Inc.
00027A	IOI Technology Corporation
002564	Dell Inc.
0020FC	MATROX
3831AC	WEG
000822	InPro Comm
6C6F18	Stereotaxis, Inc.
58FD20	Bravida Sakerhet AB
000142	CISCO SYSTEMS, INC.
E0DB55	Dell Inc
000C42	Routerboard.com
00119D	Diginfo Technology Corporation
001C50	TCL Technoly Electronics(Huizhou)Co.,Ltd
000EDB	XiNCOM Corp.
001C07	Cwlinux Limited
E0ABFE	Orb Networks, Inc.
002310	LNC Technology Co., Ltd.
001F70	Botik Technologies LTD
000D30	IceFyre Semiconductor
9852B1	Samsung Electronics
78593E	RAFI GmbH & Co.KG
503955	Cisco SPVTG
40ECF8	Siemens AG
000F8B	Orion MultiSystems Inc
10C586	BIO SOUND LAB CO., LTD.
00D0D4	V-BITS, INC.
E48B7F	Apple
74F612	ARRIS Group, Inc.
CCEED9	VAHLE DETO GmbH
001D15	Shenzhen Dolphin Electronic Co., Ltd
1C0FCF	Sypro Optics GmbH
001C8F	Advanced Electronic Design, Inc.
3032D4	Hanilstm Co., Ltd.
0000D6	PUNCH LINE HOLDING
BCC342	Panasonic System Networks Co., Ltd.
001E23	Electronic Educational Devices, Inc
001F04	Granch Ltd.
B479A7	Samsung Electro Mechanics co., LTD.
849CA6	Arcadyan Technology Corporation
00069B	AVT Audio Video Technologies GmbH
D410CF	Huanshun Network Science and Technology Co., Ltd.
6032F0	Mplus technology
001CCD	Alektrona Corporation
001E4C	Hon Hai Precision Ind.Co., Ltd.
D4319D	Sinwatec
20180E	Shenzhen Sunchip Technology Co., Ltd
000668	Vicon Industries Inc.
000AB7	CISCO SYSTEMS, INC.
000B0F	Bosch Rexroth
00244F	Asantron Technologies Ltd.
00E0F4	INSIDE Technology A/S
000F68	Vavic Network Technology, Inc.
000F9B	Ross Video Limited
00267F	Zenterio AB
001068	COMOS TELECOM
00094D	Braintree Communications Pty Ltd
001D24	Aclara Power-Line Systems Inc.
C04301	Epec Oy
4CA928	Insensi
00261C	NEOVIA INC.
004098	DRESSLER GMBH & CO.
001F1D	Atlas Material Testing Technology LLC
0090AB	CISCO SYSTEMS, INC.
108CCF	CISCO SYSTEMS, INC.
00A0B4	TEXAS MICROSYSTEMS, INC.
002272	American Micro-Fuel Device Corp.
00A0FD	SCITEX DIGITAL PRINTING, INC.
0090D8	WHITECROSS SYSTEMS
00155E	Morgan Stanley
006075	PENTEK, INC.
78A183	Advidia
001A14	Xin Hua Control Engineering Co.,Ltd.
60F59C	CRU-Dataport
E0B9BA	Apple
7C6D62	Apple
000F5D	Genexis BV
20FDF1	3COM EUROPE LTD
0004CC	Peek Traffic B.V.
003560	Rosen Aviation
0009E3	Angel Iglesias S.A.
AC3870	Lenovo Mobile Communication Technology Ltd.
24E271	Qingdao Hisense Communications Co.,Ltd
00509D	THE INDUSTREE B.V.
0011F0	Wideful Limited
18B591	I-Storm
001608	Sequans Communications
00E0D2	VERSANET COMMUNICATIONS, INC.
00013C	TIW SYSTEMS
5464D9	Sagemcom SAS
58E636	EVRsafe Technologies
0005FC	Schenck Pegasus Corp.
000D17	Turbo Networks Co.Ltd
00D0A9	SHINANO KENSHI CO., LTD.
3CF72A	Nokia Corporation
A8776F	Zonoff
082CB0	Network Instruments
00092E	B&Tech System Inc.
001305	Epicom, Inc.
0020F3	RAYNET CORPORATION
009006	HAMAMATSU PHOTONICS K.K.
983571	Sub10 Systems Ltd
808917	TP-LINK TECHNOLOGIES CO.,LTD
48E1AF	Vity
001D30	YX Wireless S.A.
0C6803	Cisco
00251A	Psiber Data Systems Inc.
64A769	HTC Corporation
000853	Schleicher GmbH & Co. Relaiswerke KG
0050DE	SIGNUM SYSTEMS CORP.
380FE4	Dedicated Network Partners Oy
00C090	PRAIM S.R.L.
00E002	CROSSROADS SYSTEMS, INC.
809B20	Intel Corporate
009094	OSPREY TECHNOLOGIES, INC.
002409	The Toro Company
000F80	Trinity Security Systems,Inc.
000771	Embedded System Corporation
0030AA	AXUS MICROSYSTEMS, INC.
0030D5	DResearch GmbH
000F84	Astute Networks, Inc.
00071E	Tri-M Engineering / Nupak Dev. Corp.
00A055	Data Device Corporation
DCF05D	Letta Teknoloji
001854	Argard Co., Ltd
001E43	AISIN AW CO.,LTD.
001F61	Talent Communication Networks Inc.
0021C3	CORNELL Communications, Inc.
000FD4	Soundcraft
00A08F	DESKNET SYSTEMS, INC.
001C6A	Weiss Engineering Ltd.
0090B4	WILLOWBROOK TECHNOLOGIES
0006B5	Source Photonics, Inc.
7CB03E	OSRAM GmbH
0013EC	Netsnapper Technologies SARL
746A8F	VS Vision Systems GmbH
0008D6	HASSNET Inc.
001E68	Quanta Computer
0002BF	dotRocket, Inc.
0006FC	Fnet Co., Ltd.
E89D87	Toshiba
50F43C	Leeo Inc
00B01E	Rantic Labs, Inc.
0023A3	ARRIS Group, Inc.
00B052	Atheros Communications
0004AD	Malibu Networks
00243C	S.A.A.A.
00164E	Nokia Danmark A/S
001C12	ARRIS Group, Inc.
D062A0	China Essence Technology (Zhumadian) Co., Ltd.
707BE8	HUAWEI TECHNOLOGIES CO.,LTD
080017	NATIONAL SEMICONDUCTOR
003076	Akamba Corporation
001250	Tokyo Aircaft Instrument Co., Ltd.
000937	Inventec Appliance Corp
E8E08F	GRAVOTECH MARKING SAS
000D28	CISCO SYSTEMS, INC.
001DF3	SBS Science & Technology Co., Ltd
00115A	Ivoclar Vivadent AG
002363	Zhuhai RaySharp Technology Co., Ltd.
008055	FERMILAB
0006D8	Maple Optical Systems
E80C75	Syncbak, Inc.
00078A	Mentor Data System Inc.
00C08A	Lauterbach GmbH
000764	YoungWoo Telecom Co. Ltd.
002636	ARRIS Group, Inc.
00211B	CISCO SYSTEMS, INC.
000A8D	EUROTHERM LIMITED
0030AB	DELTA NETWORKS, INC.
00F3DB	WOO Sports
00095F	Telebyte, Inc.
001F92	VideoIQ, Inc.
000273	Coriolis Networks
24D13F	MEXUS CO.,LTD
00191E	Beyondwiz Co., Ltd.
0003AE	Allied Advanced Manufacturing Pte, Ltd.
001004	THE BRANTLEY COILE COMPANY,INC
388345	TP-LINK TECHNOLOGIES CO., LTD.
003041	SAEJIN T & M CO., LTD.
0009F0	Shimizu Technology Inc.
00A08A	BROOKTROUT TECHNOLOGY, INC.
C819F7	Samsung Electronics Co.,Ltd
0012C0	HotLava Systems, Inc.
00204C	MITRON COMPUTER PTE LTD.
9C8D1A	INTEG process group inc
001EAD	Wingtech Group Limited
0014A6	Teranetics, Inc.
E0D173	Cisco
10B7F6	Plastoform Industries Ltd.
0003C9	TECOM Co., Ltd.
001426	NL Technology
001085	POLARIS COMMUNICATIONS, INC.
001C38	Bio-Rad Laboratories, Inc.
28D1AF	Nokia Corporation
8048A5	SICHUAN TIANYI COMHEART TELECOM CO.,LTD
00C0F3	NETWORK COMMUNICATIONS CORP.
00C05E	VARI-LITE, INC.
08606E	ASUSTek COMPUTER INC.
0016A3	Ingeteam Transmission&Distribution, S.A.
E05B70	Innovid, Co., Ltd.
20B0F7	Enclustra GmbH
0017EA	Texas Instruments
0019A1	LG INFORMATION & COMM.
0080FA	RWT GMBH
D4206D	HTC Corporation
08F1B7	Towerstream Corpration
404A18	Addrek Smart Solutions
000C68	SigmaTel, Inc.
E83381	ARRIS Group, Inc.
001A2D	The Navvo Group
003052	ELASTIC NETWORKS
008037	Ericsson Group
001CE8	Cummins Inc
00A027	FIREPOWER SYSTEMS, INC.
E0247F	HUAWEI TECHNOLOGIES CO.,LTD
842914	EMPORIA TELECOM Produktions- und VertriebsgesmbH & Co KG
B0FAEB	Cisco
000032	Marconi plc
001732	Science-Technical Center "RISSA"
000DBA	Oc茅 Document Technologies GmbH
001F4C	Roseman Engineering Ltd
0020F5	PANDATEL AG
080068	RIDGE COMPUTERS
A81758	Elektronik System i Ume氓 AB
00C03E	FA. GEBR. HELLER GMBH
002437	Motorola - BSG
004048	SMD INFORMATICA S.A.
0C9D56	Consort Controls Ltd
04888C	Eifelwerk Butler Systeme GmbH
00143B	Sensovation AG
78EC74	Kyland-USA
001A6D	CISCO SYSTEMS, INC.
0016C7	CISCO SYSTEMS, INC.
ACA919	TrekStor GmbH
0007EB	CISCO SYSTEMS, INC.
F0DBE2	Apple
443D21	Nuvolt
00243D	Emerson Appliance Motors and Controls
001CB2	BPT SPA
649C8E	Texas Instruments
002026	AMKLY SYSTEMS, INC.
18E288	STT Condigi
000141	CABLE PRINT
005004	3COM CORPORATION
000DBF	TekTone Sound & Signal Mfg., Inc.
001BEE	Nokia Danmark A/S
001A69	Wuhan Yangtze Optical Technology CO.,Ltd.
587521	CJSC RTSoft
000747	Mecalc
94EB2C	Google Inc.
2C39C1	Ciena Corporation
00802C	THE SAGE GROUP PLC
886B76	CHINA HOPEFUL GROUP HOPEFUL ELECTRIC CO.,LTD
000951	Apogee Imaging Systems
0019EB	Pyronix Ltd
1C6BCA	Mitsunami Co., Ltd.
000C01	Abatron AG
000D0D	ITSupported, LLC
008031	BASYS, CORP.
000445	LMS Skalar Instruments GmbH
00E0B0	CISCO SYSTEMS, INC.
3CD0F8	Apple
24767D	Cisco SPVTG
00D09F	NOVTEK TEST SYSTEMS
60EB69	Quanta computer Inc.
48555F	Fiberhome Telecommunication Tech.Co.,Ltd.
F0B052	Ruckus Wireless
0010F6	CISCO SYSTEMS, INC.
0003C5	Mobotix AG
F02FD8	Bi2-Vision
546172	ZODIAC AEROSPACE SAS
00E04B	JUMP INDUSTRIELLE COMPUTERTECHNIK GmbH
0020FA	GDE SYSTEMS, INC.
000706	Sanritz Corporation
005010	NovaNET Learning, Inc.
00E006	SILICON INTEGRATED SYS. CORP.
008012	INTEGRATED MEASUREMENT SYSTEMS
001C56	Pado Systems, Inc.
002313	Qool Technologies Ltd.
002702	SolarEdge Technologies
000433	Cyberboard A/S
A826D9	HTC Corporation
84DBAC	Huawei Technologies Co., Ltd
001B8B	NEC Platforms, Ltd.
001C92	Tervela
002493	ARRIS Group, Inc.
984246	SOL INDUSTRY PTE., LTD
00100D	CISCO SYSTEMS, INC.
0030CB	OMNI FLOW COMPUTERS, INC.
000F58	Adder Technology Limited
0003CE	ETEN Technologies, Inc.
485261	SOREEL
0004D5	Hitachi Information & Communication Engineering, Ltd.
000BFB	D-NET International Corporation
001357	Soyal Technology Co., Ltd.
002157	National Datacast, Inc.
8C2DAA	Apple
0004CF	Seagate Technology
001AF5	PENTAONE. CO., LTD.
E892A4	LG Electronics
FCF8B7	TRONTEQ Electronic
001E45	Sony Ericsson Mobile Communications AB
00039B	NetChip Technology, Inc.
001393	Panta Systems, Inc.
001090	CIMETRICS, INC.
000416	Parks S/A Comunicacoes Digitais
0003AB	Bridge Information Systems
0020C8	LARSCOM INCORPORATED
0026F2	Netgear
0000FF	CAMTEC ELECTRONICS LTD.
8C541D	LGE
00A0F6	AutoGas Systems Inc.
E05DA6	Detlef Fink Elektronik & Softwareentwicklung
000E84	CISCO SYSTEMS, INC.
00A0FC	IMAGE SCIENCES, INC.
001718	Vansco Electronics Oy
001658	Fusiontech Technologies Inc.
D4EC0C	Harley-Davidson Motor Company
001982	SmarDTV
EC2280	D-Link International
C0BD42	ZPA Smart Energy a.s.
00A0E7	CENTRAL DATA CORPORATION
BC6A29	Texas Instruments
00037A	Taiyo Yuden Co., Ltd.
001F65	KOREA ELECTRIC TERMINAL CO., LTD.
00505F	BRAND INNOVATORS
A863F2	Texas Instruments
B0C8AD	People Power Company
0014EC	Acro Telecom
000DED	CISCO SYSTEMS, INC.
002452	Silicon Software GmbH
00199E	Nifty
40169F	TP-LINK TECHNOLOGIES CO., LTD.
1CA532	Shenzhen Gongjin Electronics Co.,Ltd
0005AB	Cyber Fone, Inc.
00146D	RF Technologies
000679	Konami Corporation
001F4F	Thinkware Co. Ltd.
00048B	Poscon Corporation
0026E3	DTI
1CAF05	Samsung Electronics Co.,Ltd
00D0CA	Intrinsyc Software International Inc.
A002DC	Amazon Technologies Inc.
00906F	CISCO SYSTEMS, INC.
00039C	OptiMight Communications, Inc.
0432F4	Partron
00E088	LTX-Credence CORPORATION
001BC0	Juniper Networks
58874C	LITE-ON CLEAN ENERGY TECHNOLOGY CORP.
E89A8F	Quanta Computer Inc.
78AE0C	Far South Networks
00240B	Virtual Computer Inc.
0040C8	MILAN TECHNOLOGY CORPORATION
000C41	Cisco-Linksys
00E0A7	IPC INFORMATION SYSTEMS, INC.
000488	Eurotherm Controls
00076E	Sinetica Corporation Limited
48A6D2	GJsun Optical Science and Tech Co.,Ltd.
000040	APPLICON, INC.
508ACB	SHENZHEN MAXMADE TECHNOLOGY CO., LTD.
000227	ESD Electronic System Design GmbH
00209E	BROWNS OPERATING SYSTEM SERVICES, LTD.
00161C	e:cue
000F8C	Gigawavetech Pte Ltd
00A06C	SHINDENGEN ELECTRIC MFG. CO., LTD.
1C5C55	PRIMA Cinema, Inc
004036	Zoom Telephonics, Inc
0019BA	Paradox Security Systems Ltd
0007BB	Candera Inc.
009085	GOLDEN ENTERPRISES, INC.
E00C7F	Nintendo Co., Ltd.
44356F	Neterix
A863DF	DISPLAIRE CORPORATION
001C08	Echo360, Inc.
002163	ASKEY COMPUTER CORP
001882	Huawei Technologies Co., Ltd.
001F71	xG Technology, Inc.
0060F4	ADVANCED COMPUTER SOLUTIONS, Inc.
0015D0	ARRIS International
001888	GOTIVE a.s.
00241B	iWOW Communications Pte Ltd
6C3E6D	Apple
00302C	SYLANTRO SYSTEMS CORPORATION
0000B1	ALPHA MICROSYSTEMS INC.
844F03	Ablelink Electronics Ltd
E446BD	C&C TECHNIC TAIWAN CO., LTD.
44C9A2	Greenwald Industries
00C610	Apple
00D0DA	TAICOM DATA SYSTEMS CO., LTD.
001FAA	Taseon, Inc.
64167F	Polycom
00055A	Power Dsine Ltd.
0016F4	Eidicom Co., Ltd.
000DDE	Joyteck Co., Ltd.
0012EB	PDH Solutions, LLC
0005E8	TurboWave, Inc.
FC2F40	Calxeda, Inc.
0021F1	Tutus Data AB
001FF1	Paradox Hellas S.A.
749CE3	Art2Wave Canada Inc.
0012A5	Stargen, Inc.
0060C3	NETVISION CORPORATION
4403A7	Cisco
102D96	Looxcie Inc.
1CF5E7	Turtle Industry Co., Ltd.
001A89	Nokia Danmark A/S
90B21F	Apple
10DDF4	Maxway Electronics CO.,LTD
FCF8AE	Intel Corporate
DC3714	Apple, Inc.
000DA5	Fabric7 Systems, Inc
9481A4	Azuray Technologies
A4BBAF	Lime Instruments
246AAB	IT-IS International
000B87	American Reliance Inc.
00E04F	CISCO SYSTEMS, INC.
00201E	NETQUEST CORPORATION
7C7D41	Jinmuyu Electronics Co., Ltd.
384233	Wildeboer Bauteile GmbH
203A07	Cisco
1C66AA	Samsung Electronics
48A22D	Shenzhen Huaxuchang Telecom Technology Co.,Ltd
FC3598	Favite Inc.
00210A	byd:sign Corporation
34A3BF	Terewave. Inc.
D40057	MC Technologies GmbH
00A021	General Dynamics
78B3CE	Elo touch solutions
0040EF	HYPERCOM, INC.
604616	XIAMEN VANN INTELLIGENT CO., LTD
001D33	Maverick Systems Inc.
2CCC15	Nokia Corporation
E8A364	Signal Path International / Peachtree Audio
0021D7	CISCO SYSTEMS, INC.
6CD146	Smartek d.o.o.
001EE1	Samsung Electronics Co.,Ltd
A4A80F	Shenzhen Coship Electronics Co., Ltd.
D0D0FD	CISCO SYSTEMS, INC.
0004F4	Infinite Electronics Inc.
F80D60	CANON INC.
000290	Woorigisool, Inc.
001F0F	Select Engineered Systems
000DD5	ORITE TECHNOLOGY CO.,LTD
6C8814	Intel Corporate
1C8E5C	Huawei Technologies Co., Ltd
2CABA4	Cisco SPVTG
0005BF	JustEzy Technology, Inc.
001993	Changshu Switchgear MFG. Co.,Ltd. (Former Changshu Switchgea
000A34	Identicard Systems Incorporated
000FC0	DELCOMp
001B27	Merlin CSI
00303C	ONNTO CORP.
001475	Wiline Networks, Inc.
001C13	OPTSYS TECHNOLOGY CO., LTD.
0012F4	Belco International Co.,Ltd.
0080D7	Fantum Engineering
D0E347	Yoga
000D41	Siemens AG ICM MP UC RD IT KLF1
003044	CradlePoint, Inc
000519	Siemens Building Technologies AG,
280DFC	Sony Computer Entertainment Inc.
0001EF	Camtel Technology Corp.
00223E	IRTrans GmbH
006BA0	SHENZHEN UNIVERSAL INTELLISYS PTE LTD
F4DCF9	Huawei Technologies Co., Ltd
002681	Interspiro AB
001FCB	NIW Solutions
00024C	SiByte, Inc.
D4024A	Delphian Systems LLC
0010DB	Juniper Networks, Inc.
0022DE	OPPO Digital, Inc.
24F0FF	GHT Co., Ltd.
000A20	SVA Networks, Inc.
001B2F	NETGEAR Inc.
182861	AirTies Wireless Networks
080057	EVANS & SUTHERLAND
945B7E	TRILOBIT LTDA.
00D0D9	DEDICATED MICROCOMPUTERS
000E5C	ARRIS Group, Inc.
